Colonia,Autobus
TESI,1
20 de noviembre,1
Alfredo del Mazo,1
Ampliación Emiliano Zapata,1
Ampliación Loma Bonita,1
Ampliación San Francisco,1
Ampliación Tejalpa,1
Ampliación Zoquiapan,1
Arboladas,1
Cerro de Moctezuma,1
Citlalmina y Ampliación Santa Cruz. La Era,1
El Capulín,1
El Contadero,1
El Mirador,1
El Molino,1
Escalerillas,1
F. Álvarez,1
Fraccionamiento Izcalli Ixtalapuca,1
Fraccionamiento José de La Mora,1
Geovillas Jesús María,1
Geovillas de Ayotla,1
Geovillas de San Jacinto,1
Hornos San Juan,1
Hornos Santa Bárbara,1
Ilhuicamina,1
Jorge Jiménez Cantú,1
Juan Antonio Soberanes,1
La Cañada,1
La Magdalena,1
La Retama,1
La Rosa de San Francisco,1
TESI,1
TESI,2
La Venta,2
Loma Bonita,2
Lomas de Ayotla,2
Los Héroes,2
Luis Donaldo Colosio,2
Margarita Morán,2
Melchor Ocampo,2
Plutarco Elías Calles,2
Pueblo Nuevo,2
Rancho El Carmen,2
Rancho Guadalupe,2
Rancho Verde,2
Residencial Ayotla,2
Rigoberta Menchú,2
Rincón del Bosque,2
San Antonio,2
San Buenaventura,2
San Jerónimo 4 vientos,2
San José de la Palma,2
Santa Bárbara,2
Santa Cruz,2
Santo Tomás,2
Teponaxtle,2
Tlacaelel,2
Tlayehuale,2
Valle Verde,2
Vergel de Guadalupe,2
Zoquiapan,2
TESI,2
